"qr_id","qr_timelog","qr_status"
btrs14c2241e02aa044533077ea8dde99df92iuy89,2021-01-27 10:06:11,true
btrs1f56b80854356b6ce95063a8b8bba3267iuy89,2021-01-27 10:06:11,true
btrs1a6746dd26a2390ad6d3d4cb249a52a92iuy89,2021-01-27 10:06:11,true
btrs1603ac6847b3c2e5bdab2b338d10f2f12iuy89,2021-01-27 10:06:11,true
btrs1f272b6f905b7e78bd3215076a864bebdiuy89,2021-01-27 10:06:11,true
btrs1f5379f3e82825218a56e6e4ad48a18bciuy89,2021-01-27 10:06:11,true
btrs11439a6ebedd7a0f3992c59b1f5ea8d32iuy89,2021-01-27 10:06:11,true
btrs1c0aa76a2c5468ef8f0cb1d57bcd3a162iuy89,2021-01-27 10:06:11,true
btrs114eb2875f9b18a479bfd8ca0a6bb6a00iuy89,2021-01-27 10:06:11,true
btrs130d5b313ed2f3850304b1703d213e1aaiuy89,2021-01-27 10:06:11,true
btrs13ee1b34da70c5b82cf1409df551d9b69iuy89,2021-01-27 10:06:11,true
btrs19f594289504da92d543dbdee8f4630c7iuy89,2021-01-27 10:06:11,true
btrs1207016a16d004568687ea58b7dba3209iuy89,2021-01-27 10:06:11,true
btrs1b20606f3531d5abea1b2d8f0a3b1df80iuy89,2021-01-27 10:06:11,true
btrs1d5496a5be98e19be9b0c262cbad1852ciuy89,2021-01-27 10:06:11,true
btrs1df15150a4826dccce624510fa2c24531iuy89,2021-01-27 10:06:11,true
btrs18c8e8390a5f4cee489f1beb1b1ebd012iuy89,2021-01-27 10:06:11,true
btrs18a55b6a6f2b835067b95e7ad2e63ffbaiuy89,2021-01-27 10:06:11,true
btrs17ea82f194fb1b47d762530fce7ae760biuy89,2021-01-27 10:06:11,true
btrs1cf049922036dc21bcf80d956c982dc87iuy89,2021-01-27 10:06:11,true
btrs16dd9facde73f671354ccd0a04c989a6fiuy89,2021-01-27 10:06:11,true
btrs1aed2b15b56258882956d69619669aa9biuy89,2021-01-27 10:06:11,true
btrs110d37577eb31b71e654e912cddca06fdiuy89,2021-01-27 10:06:11,true
btrs1244caafba0b2ad7b106d0599c90c608eiuy89,2021-01-27 10:06:11,true
btrs178e1ef6242e6d0a3506fdae04af6f46ciuy89,2021-01-27 10:06:11,true
btrs16c3e8c6217626a9064ed5aa7993eac9eiuy89,2021-01-27 10:06:11,true
btrs16173dba4cd3340c8ce9b504fa9e47993iuy89,2021-01-27 10:06:11,true
btrs159f6fe23babf244e198cf0bed60cff0aiuy89,2021-01-27 10:06:11,true
btrs18bae87d877603cfaadf889e15d973710iuy89,2021-01-27 10:06:11,true
btrs1aaf0fdea7e611ef7d27a5c987db0479aiuy89,2021-01-27 10:06:11,true
btrs17e299a9d67876ecb89520454e0e57230iuy89,2021-01-27 10:06:11,true
btrs16330b85ecb9749058b7fc4a459b6d076iuy89,2021-01-27 10:06:11,true
btrs1de97d90c7d41f92ca71ec35f6c38c441iuy89,2021-01-27 10:06:11,true
btrs1684c087e3177580261b72fda5ba15ebfiuy89,2021-01-27 10:06:11,true
btrs16b58edf63af0909ba6f3cb32c8f027f9iuy89,2021-01-27 10:06:11,true
btrs12703d6a8beabc5df88d3c9398f11af96iuy89,2021-01-27 10:06:11,true
btrs1a4117c4edf4f281163b2e453468cb66aiuy89,2021-01-27 10:06:11,true
btrs1b63d7b321eb51d1c5511e181c59972c3iuy89,2021-01-27 10:06:11,true
btrs1c8aff160655848ab846ae2a02c3c3b29iuy89,2021-01-27 10:06:11,true
btrs10ef1323b48e41567f7794d2b6dd6d0deiuy89,2021-01-27 10:06:11,true
btrs1ed2b593f410b2c5b1362651c073a4addiuy89,2021-01-27 10:06:11,true
btrs1086f7057eab27869378e5ebcd230b7dbiuy89,2021-01-27 10:06:11,true
btrs1e6c43adf343fd68f55f9ddba29f59c56iuy89,2021-01-27 10:06:11,true
btrs107cc65b7ac05ba99967fe86cc8585fffiuy89,2021-01-27 10:06:11,true
btrs15e078282fc7f7fb21029d7b8a66c18caiuy89,2021-01-27 10:06:11,true
btrs1527d6f986b14d39f49910143527de6bciuy89,2021-01-27 10:06:11,true
btrs126b4eeefd9871965c3726b6f95cc9bbbiuy89,2021-01-27 10:06:11,true
btrs1a80b76edd1beb70218c70605ccc58636iuy89,2021-01-27 10:06:11,true
btrs16eca84ae99aab46a74a6e1ace983c9b5iuy89,2021-01-27 10:06:11,true
btrs1612407de6fb1ab5e277d2d9ae2bca21biuy89,2021-01-27 10:06:11,true
btrs1f55094bd31507c47d169e9374868628aiuy89,2021-01-27 10:06:11,true
btrs1e056212e1b296a0fce7801de1fa57312iuy89,2021-01-27 10:06:11,true
btrs1dcb649c23b70bf5a019784aedfc2bbe3iuy89,2021-01-27 10:06:11,true
btrs1aa370579bb7cfc695e5fbab5fc84da3eiuy89,2021-01-27 10:06:11,true
btrs1177d6adf7eb9311e7d45af7a0db0cbb0iuy89,2021-01-27 10:06:11,true
btrs173b429bc3a552292b627ca67a0befdffiuy89,2021-01-27 10:06:11,true
btrs118970da9b392443c159fb675a408574aiuy89,2021-01-27 10:06:11,true
btrs1a59ca0c465539e699cf8877fc8a1be5eiuy89,2021-01-27 10:06:11,true
btrs192deba7d3804b6e2b0f70006532ba665iuy89,2021-01-27 10:06:11,true
btrs18eb6f3a8bd405f4b2586c3d8c241eac7iuy89,2021-01-27 10:06:11,true
btrs16ba90fc7a313469e3a98b067332a14e9iuy89,2021-01-27 10:06:11,true
btrs1d1b75d2fedfdd28f663977c05959eca1iuy89,2021-01-27 10:06:11,true
btrs16e4b3dcf87bf3ed1057a1cce53aec780iuy89,2021-01-27 10:06:11,true
btrs1515e7d1fd71fff6d5f1e306fddb34edciuy89,2021-01-27 10:06:11,true
btrs1405ee2b2952fac259188c570b60e974diuy89,2021-01-27 10:06:11,true
btrs1da0b86c6a0e764646cda7ec4e8378983iuy89,2021-01-27 10:06:11,true
btrs19b40bdcebec3934c0250f9579efdbd24iuy89,2021-01-27 10:06:11,true
btrs15fe80e22142077b32cefd744176926b9iuy89,2021-01-27 10:06:11,true
btrs147b598d7bdb3f42574cb64f19258074biuy89,2021-01-27 10:06:11,true
btrs12e6408e5e5f1054555bdcd676113fef9iuy89,2021-01-27 10:06:11,true
btrs15a17695fcd37c90081f0942eb552777biuy89,2021-01-27 10:06:11,true
btrs1e9805366658cd17d75ac04a6d5af7aebiuy89,2021-01-27 10:06:11,true
btrs12dc8e4d7400b44a408a56649224e81adiuy89,2021-01-27 10:06:11,true
btrs1a034b24962629d39c641ed5b1ab29acbiuy89,2021-01-27 10:06:11,true
btrs1b5df38f16136ce4dd8b10a4d78846a3aiuy89,2021-01-27 10:06:11,true
btrs15bf09a83ddf549c1bb4c59ceb6b8479diuy89,2021-01-27 10:06:11,true
btrs14858abdd62a0baad66b8309d3fba7b3aiuy89,2021-01-27 10:06:11,true
btrs10fcc22995b0766161a5e3a3f7a644637iuy89,2021-01-27 10:06:11,true
btrs14e49d3fda478834c87a6f8c5deecf4c9iuy89,2021-01-27 10:06:11,true
btrs196be61c8201165ac6ca91669b44c2d5eiuy89,2021-01-27 10:06:11,true
btrs15dee83768d0946393c7469948bde510diuy89,2021-01-27 10:06:11,true
btrs1e0b55824d9ef826bc9caed6746f27dc2iuy89,2021-01-27 10:06:11,true
btrs17c48e30f5915f39636cac64864813e66iuy89,2021-01-27 10:06:11,true
btrs12ffa745309591b223d21b8ca7766d34eiuy89,2021-01-27 10:06:11,true
btrs163e33a6735d393d5c760798f71ef9017iuy89,2021-01-27 10:06:11,true
btrs146fcf264e4089045219e663ce68ce3d4iuy89,2021-01-27 10:06:11,true
btrs1475b6cfe2b0186eee5fdc965cf901803iuy89,2021-01-27 10:06:11,true
btrs1e950fd0ef3f93e10033bf164509bcd7ciuy89,2021-01-27 10:06:11,true
btrs179a9d077196cea0f06246c8b80f2b946iuy89,2021-01-27 10:06:11,true
btrs1a7910970633f7d8d2787d5803bab0c35iuy89,2021-01-27 10:06:11,true
btrs1631139056bc5f65eeff3996e6c832ab3iuy89,2021-01-27 10:06:11,true
btrs13d974d770514a8c4dacb34fcce9f94beiuy89,2021-01-27 10:06:11,true
btrs1cbe84af164281ba44fe11027c3716dbeiuy89,2021-01-27 10:06:11,true
btrs13bd9b2d05cede31e7d31339de74055ediuy89,2021-01-27 10:06:11,true
btrs1ab30d4e286ae2ce7297b04b9541f528biuy89,2021-01-27 10:06:11,true
btrs1cf34170dba5092add49c01902b2ba347iuy89,2021-01-27 10:06:11,true
btrs1c41731cb6349298ed4afc80fb47e984eiuy89,2021-01-27 10:06:11,true
btrs155599961e40eb1cfb42c99ae21704b9ciuy89,2021-01-27 10:06:11,true
btrs1b02f2101e449cd95e7c4f938c2c81438iuy89,2021-01-27 10:06:11,true
btrs181207be20630f395a04e9b1253c964f6iuy89,2021-01-27 10:06:11,true
